19:09:47:361 [main] INFO Main - Start main
19:09:52:427 [main] INFO Main - input data = [Data(value=1.0, paramName=a), Data(value=2.0, paramName=b)]
19:09:52:898 [AWT-EventQueue-0] INFO Main - Create window
19:09:53:223 [main] INFO Main - End main
19:09:53:238 [AWT-EventQueue-0] INFO Main - display circle diagram
19:09:53:439 [AWT-EventQueue-0] INFO Main - display circle diagram
19:09:53:605 [AWT-EventQueue-0] INFO Main - display circle diagram
19:09:53:763 [AWT-EventQueue-0] INFO Main - display circle diagram
19:09:53:946 [AWT-EventQueue-0] INFO Main - display circle diagram
19:09:54:090 [AWT-EventQueue-0] INFO Main - display circle diagram
19:09:54:251 [AWT-EventQueue-0] INFO Main - display circle diagram
19:09:54:468 [AWT-EventQueue-0] INFO Main - display circle diagram
19:09:54:685 [AWT-EventQueue-0] INFO Main - display circle diagram
19:09:54:835 [AWT-EventQueue-0] INFO Main - display circle diagram
19:09:54:972 [AWT-EventQueue-0] INFO Main - display circle diagram
